Nodes 
Index,XCoord(ft),YCoord(ft),Constraint,XForce(kip),YForce(kip),BeamIdxs
0,-67.70926931444491,20.0,,0,0,5;11
1,-12.709269314444914,20.0,,0,0,0;6
2,-40.2092693144449,30.0,,0,0,8;9;12;13;14
3,-40.209269314444896,20.0,,0,0,2;3;12
4,-31.04260264777823,20.000000000000004,,0,0,1;2;13;15
5,-49.37593598111153,19.999999999999996,,0,0,3;4;14;16
6,-28.901483426367026,25.888077858880774,,0,0,7;8;15;17
7,-51.51705520252274,25.88807785888079,,0,0,9;10;16;18
8,-21.87593598111158,20.0,,0,0,0;1;17;20
9,-58.54260264777822,20.0,,0,0,4;5;18;19
10,-59.61316225848381,22.944038929440403,,0,0,10;11;19
11,-20.805376370405977,22.944038929440392,,0,0,6;7;20
Beams
Index,Start Node,End Node,Section Type,Material,Sdir,Tdir,Udir
0,1,8,W Shapes:W12X22,Steel ASTM A992,[-0.0, -1.0, 0.0],[0.0, 0.0, 1.0],[-1.0, 0.0, 0.0]
1,8,4,W Shapes:W12X22,Steel ASTM A992,[-0.0, -1.0, 0.0],[0.0, 0.0, 1.0],[-1.0, 0.0, 0.0]
2,4,3,W Shapes:W12X22,Steel ASTM A992,[-0.0, -1.0, 0.0],[0.0, 0.0, 1.0],[-1.0, 0.0, 0.0]
3,3,5,W Shapes:W12X22,Steel ASTM A992,[-0.0, -1.0, 0.0],[0.0, 0.0, 1.0],[-1.0, 0.0, 0.0]
4,5,9,W Shapes:W12X22,Steel ASTM A992,[-0.0, -1.0, 0.0],[0.0, 0.0, 1.0],[-1.0, 0.0, 0.0]
5,9,0,W Shapes:W12X22,Steel ASTM A992,[-0.0, -1.0, 0.0],[0.0, 0.0, 1.0],[-1.0, 0.0, 0.0]
6,1,11,W Shapes:W12X22,Steel ASTM A992,[-0.0, -0.93979342, 0.0],[0.32116788, 0.0, 0.88321168],[-0.93979342, 0.0, 0.34174306]
7,11,6,W Shapes:W12X22,Steel ASTM A992,[-0.0, -0.93979342, 0.0],[0.32116788, 0.0, 0.88321168],[-0.93979342, 0.0, 0.34174306]
8,6,2,W Shapes:W12X22,Steel ASTM A992,[-0.0, -0.93979342, 0.0],[0.32116788, 0.0, 0.88321168],[-0.93979342, 0.0, 0.34174306]
9,2,7,W Shapes:W12X22,Steel ASTM A992,[-0.0, -0.93979342, 0.0],[-0.32116788, 0.0, 0.88321168],[-0.93979342, 0.0, -0.34174306]
10,7,10,W Shapes:W12X22,Steel ASTM A992,[-0.0, -0.93979342, 0.0],[-0.32116788, 0.0, 0.88321168],[-0.93979342, 0.0, -0.34174306]
11,10,0,W Shapes:W12X22,Steel ASTM A992,[-0.0, -0.93979342, 0.0],[-0.32116788, 0.0, 0.88321168],[-0.93979342, 0.0, -0.34174306]
12,3,2,W Shapes:W12X22,Steel ASTM A992,[-0.0, 0.0, 0.0],[0.0, -0.0, 0.0],[0.0, 0.0, 1.0]
13,4,2,W Shapes:W12X22,Steel ASTM A992,[-0.0, -0.67572463, 0.0],[0.49811321, 0.0, 0.45660377],[-0.67572463, 0.0, 0.73715414]
14,2,5,W Shapes:W12X22,Steel ASTM A992,[-0.0, -0.67572463, 0.0],[-0.49811321, 0.0, 0.45660377],[-0.67572463, 0.0, -0.73715414]
15,6,4,W Shapes:W12X22,Steel ASTM A992,[-0.0, -0.34174306, 0.0],[-0.32116788, 0.0, 0.11678832],[-0.34174306, 0.0, -0.93979342]
16,5,7,W Shapes:W12X22,Steel ASTM A992,[-0.0, -0.34174306, 0.0],[0.32116788, 0.0, 0.11678832],[-0.34174306, 0.0, 0.93979342]
17,8,6,W Shapes:W12X22,Steel ASTM A992,[-0.0, -0.76642336, 0.0],[0.49230113, 0.0, 0.58740476],[-0.76642336, 0.0, 0.64233577]
18,7,9,W Shapes:W12X22,Steel ASTM A992,[-0.0, -0.76642336, 0.0],[-0.49230113, 0.0, 0.58740476],[-0.76642336, 0.0, -0.64233577]
19,9,10,W Shapes:W12X22,Steel ASTM A992,[-0.0, -0.34174306, 0.0],[0.32116788, 0.0, 0.11678832],[-0.34174306, 0.0, 0.93979342]
20,11,8,W Shapes:W12X22,Steel ASTM A992,[-0.0, -0.34174306, 0.0],[-0.32116788, 0.0, 0.11678832],[-0.34174306, 0.0, -0.93979342]
